symbol,target_vram,accepted_symbols,accepted_owner_resolution,retail_call_count,call_sites_rom,observed_argument_registers,observed_stack_argument_slots,observed_minimum_argument_count,observed_return_use,predecessor_declaration,strongest_repository_definition,linkage_evidence,evidence_strength,recommended_prototype,discrepancies
func_002834C4,0x802274F4,func_002834C4,unique:func_002834C4,1,0x002857B8,$a0|$a1,0,2,unknown,"void func_002834C4(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002834C4(s32, s32)",return/parameter types remain unconfirmed
func_00283564,0x80227594,func_00283564,unique:func_00283564,1,0x002857DC,$a0|$a1|$a2|$a3,0,4,unknown,"void func_00283564(s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_00283564(s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_00283654,0x80227684,func_00283654,unique:func_00283654,1,0x00284B24,none isolated,0,0,unknown,void func_00283654(s32),void func_00283654(void) [src/lib/func_00283654.c],src/lib/func_00283654.c,strong:accepted-linked-C-definition,void func_00283654(void),predecessor differs from strongest C definition
func_00283694,0x802276C4,func_00283694,unique:func_00283694,1,0x00285CF0,none isolated,0,0,unknown,s32 func_00283694(s32),int func_00283694(void) [src/lib/func_00283694.c],src/lib/func_00283694.c,strong:accepted-linked-C-definition,int func_00283694(void),predecessor differs from strongest C definition
func_002836A4,0x802276D4,func_002836A4,unique:func_002836A4,1,0x00284B34,none isolated,0,0,unknown,void func_002836A4(s32),void func_002836A4(void) [src/lib/func_002836A4.c],src/lib/func_002836A4.c,strong:accepted-linked-C-definition,void func_002836A4(void),predecessor differs from strongest C definition
func_002836C8,0x802276F8,func_002836C8,unique:func_002836C8,1,0x00285714,$a0,0,1,unknown,s32 func_002836C8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_002836C8(s32),return/parameter types remain unconfirmed
func_00283740,0x80227770,func_00283740,unique:func_00283740,1,0x00285704,none isolated,0,0,not-observed-before-overwrite,void func_00283740(s32),void func_00283740(void) [src/lib/func_00283740.c],src/lib/func_00283740.c,strong:accepted-linked-C-definition,void func_00283740(void),predecessor differs from strongest C definition
func_00283748,0x80227778,func_00283748,unique:func_00283748,1,0x00285730,$a0,0,1,unknown,void func_00283748(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_00283748(s32),return/parameter types remain unconfirmed
func_002838AC,0x802278DC,func_002838AC,unique:func_002838AC,1,0x00284DDC,$a0|$a1|$a2|$a3,2,6,unknown,"void func_002838AC(s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002838AC(s32, s32, s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_002839A8,0x802279D8,func_002839A8,unique:func_002839A8,2,0x00285898|0x002858B0,none isolated,0,0,unknown,void func_002839A8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_002839A8(s32),return/parameter types remain unconfirmed
func_002839C4,0x802279F4,func_002839C4,unique:func_002839C4,1,0x002858C0,none isolated,0,0,unknown,s32 func_002839C4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_002839C4(s32),return/parameter types remain unconfirmed
func_00283B30,0x80227B60,func_00283B30,unique:func_00283B30,1,0x00285AB4,none isolated,0,0,unknown,void func_00283B30(s32),void func_00283B30(void) [src/lib/func_00283B30.c],src/lib/func_00283B30.c,strong:accepted-linked-C-definition,void func_00283B30(void),predecessor differs from strongest C definition
func_00283E14,0x80227E44,func_00283E14,unique:func_00283E14,1,0x00285D7C,$a0,0,1,used,s8 func_00283E14(s16),s32 func_00283E14(s32 index) [src/lib/func_00283E14.c],src/lib/func_00283E14.c,strong:accepted-linked-C-definition,s32 func_00283E14(s32 index),predecessor differs from strongest C definition
func_00283FA8,0x80227FD8,func_00283FA8,unique:func_00283FA8,2,0x00285DB0|0x00285F48,$a0|$a1,0,2,unknown,"void func_00283FA8(s32, M2C_UNK)","void func_00283FA8(s32 selector, s32 continuation) [src/lib/func_00283FA8.c]",src/lib/func_00283FA8.c,strong:accepted-linked-C-definition,"void func_00283FA8(s32 selector, s32 continuation)",predecessor differs from strongest C definition
func_002861C8,0x8022A1F8,func_002861C8,unique:func_002861C8,1,0x0028616C,$a0|$a1|$a2|$a3,2,6,used,"s32 func_002861C8(s32 *, s32, s32 *, s32, s32, s32)","s32 func_002861C8(s32 *nesting, s32 cursor, s32 *stream, s32 value, s32 skip, s32 scan_mode) [src/lib/func_002861C8.c]",src/lib/func_002861C8.c,strong:accepted-linked-C-definition,"s32 func_002861C8(s32 *nesting, s32 cursor, s32 *stream, s32 value, s32 skip, s32 scan_mode)",none
func_002864F8,0x8022A528,func_002864F8,unique:func_002864F8,1,0x002854B0,$a0,0,1,unknown,s32 func_002864F8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_002864F8(s32),return/parameter types remain unconfirmed
func_0029A4C0,0x8022AC90,func_0029A4C0,unique:func_0029A4C0,1,0x002850D4,$a0,0,1,unknown,void func_0029A4C0(void *),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0029A4C0(void *),return/parameter types remain unconfirmed
func_0029A59C,0x8022AD6C,func_0029A59C,unique:func_0029A59C,1,0x00285870,$a0|$a1|$a2|$a3,0,4,unknown,"void func_0029A59C(s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029A59C(s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_0029A7C4,0x8022AF94,func_0029A7C4,unique:func_0029A7C4,1,0x002852B4,$a0|$a1|$a2|$a3,5,9,unknown,"void func_0029A7C4(u8, s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029A7C4(u8, s32, s32, s32, s32, s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_0029AC44,0x8022B414,func_0029AC44,unique:func_0029AC44,1,0x002856C4,$a0,0,1,unknown,void func_0029AC44(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0029AC44(s32),return/parameter types remain unconfirmed
func_0029AF24,0x8022B6F4,func_0029AF24,unique:func_0029AF24,1,0x002857EC,none isolated,0,0,unknown,void func_0029AF24(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0029AF24(s32),return/parameter types remain unconfirmed
func_0029B78C,0x8022BF5C,func_0029B78C,unique:func_0029B78C,1,0x00284F4C,$a0,0,1,unknown,void func_0029B78C(void *),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0029B78C(void *),return/parameter types remain unconfirmed
func_0029B9E0,0x8022C1B0,func_0029B9E0,unique:func_0029B9E0,1,0x00284F64,$a0,0,1,unknown,void func_0029B9E0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0029B9E0(s32),return/parameter types remain unconfirmed
func_0029BA80,0x8022C250,func_0029BA80,unique:func_0029BA80,1,0x00284E70,$a0|$a1|$a2|$a3,5,9,unknown,"void func_0029BA80(s32, s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029BA80(s32, s32, s32, s32, s32, s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_0029BDC4,0x8022C594,func_0029BDC4,unique:func_0029BDC4,1,0x00284E8C,$a0,0,1,unknown,s32 func_0029BDC4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_0029BDC4(s32),return/parameter types remain unconfirmed
func_0029BDF8,0x8022C5C8,func_0029BDF8,unique:func_0029BDF8,1,0x00285BA0,$a0,0,1,unknown,void func_0029BDF8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_0029BDF8(s32),return/parameter types remain unconfirmed
func_0029BEF4,0x8022C6C4,func_0029BEF4,unique:func_0029BEF4,1,0x00286140,$a0|$a1,0,2,not-observed-before-overwrite,"void func_0029BEF4(s32, void *)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029BEF4(s32, void *)",return/parameter types remain unconfirmed
func_0029C19C,0x8022C96C,func_0029C19C,unique:func_0029C19C,1,0x00285078,none isolated,0,0,unknown,s32 func_0029C19C(s32),int func_0029C19C(void) [src/lib/func_0029C19C.c],src/lib/func_0029C19C.c,strong:accepted-linked-C-definition,int func_0029C19C(void),predecessor differs from strongest C definition
func_0029C1B8,0x8022C988,func_0029C1B8,unique:func_0029C1B8,1,0x002850A8,$a0|$a1|$a2|$a3,0,4,unknown,"void func_0029C1B8(void *, void *, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029C1B8(void *, void *, s32, s32)",return/parameter types remain unconfirmed
func_0029C5A0,0x8022CD70,func_0029C5A0,unique:func_0029C5A0,1,0x00285B28,$a0|$a1,0,2,unknown,"void func_0029C5A0(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029C5A0(s32, s32)",return/parameter types remain unconfirmed
func_0029C624,0x8022CDF4,func_0029C624,unique:func_0029C624,1,0x00284D70,$a0|$a1|$a2|$a3,1,5,unknown,"void func_0029C624(s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029C624(s32, s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_0029C92C,0x8022D0FC,func_0029C92C,unique:func_0029C92C,1,0x00284D88,$a0,0,1,unknown,s32 func_0029C92C(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_0029C92C(s32),return/parameter types remain unconfirmed
func_0029D790,0x8022DF60,func_0029D790,unique:func_0029D790,1,0x00284D48,$a0|$a1|$a2|$a3,5,9,unknown,"void func_0029D790(s32, s32, s32, s32, f32, f32, f32, s32, s32)","void func_0029D790(s32 arg0, s32 arg1, s32 arg2, s32 arg3, f32 arg4, f32 arg5, f32 arg6, u8 arg7, u8 arg8) [src/lib/func_0029D790.c]",src/lib/func_0029D790.c,strong:accepted-linked-C-definition,"void func_0029D790(s32 arg0, s32 arg1, s32 arg2, s32 arg3, f32 arg4, f32 arg5, f32 arg6, u8 arg7, u8 arg8)",predecessor differs from strongest C definition
func_0029DEC8,0x8022E698,func_0029DEC8,unique:func_0029DEC8,1,0x002856F4,$a0|$a1|$a2,0,3,unknown,"void func_0029DEC8(s32, f32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_0029DEC8(s32, f32, s32)",return/parameter types remain unconfirmed
func_0029DF04,0x8022E6D4,func_0029DF04,unique:func_0029DF04,1,0x00284C9C,$a0,0,1,unknown,s32 func_0029DF04(s32),u8 func_0029DF04(int slot) [src/lib/func_0029DF04.c],src/lib/func_0029DF04.c,strong:accepted-linked-C-definition,u8 func_0029DF04(int slot),predecessor differs from strongest C definition
func_0029FF74,0x80230744,func_0029FF74,unique:func_0029FF74,1,0x00285E38,$a0,0,1,used,s32 func_0029FF74(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_0029FF74(s32),return/parameter types remain unconfirmed
func_002A0088,0x80230858,func_002A0088,unique:func_002A0088,1,0x00285EA4,$a0|$a1|$a2|$a3,6,10,unknown,"void func_002A0088(s32, s32, s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002A0088(s32, s32, s32, s32, s32, s32, s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_002A0354,0x80230B24,func_002A0354,unique:func_002A0354,1,0x00284CB0,$a0,0,1,unknown,s32 func_002A0354(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_002A0354(s32),return/parameter types remain unconfirmed
func_002A0374,0x80230B44,func_002A0374,unique:func_002A0374,1,0x00284BCC,$a0,0,1,unknown,void func_002A0374(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_002A0374(s32),return/parameter types remain unconfirmed
func_002A053C,0x80230D0C,func_002A053C,unique:func_002A053C,1,0x00284DA4,$a0,0,1,unknown,void func_002A053C(s32),void func_002A053C(short value) [src/lib/func_002A053C.c],src/lib/func_002A053C.c,strong:accepted-linked-C-definition,void func_002A053C(short value),predecessor differs from strongest C definition
func_002A0548,0x80230D18,func_002A0548,unique:func_002A0548,1,0x00284BB0,$a0,0,1,unknown,void func_002A0548(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_002A0548(s32),return/parameter types remain unconfirmed
func_002A05DC,0x80230DAC,func_002A05DC,unique:func_002A05DC,1,0x00284EF4,$a0,0,1,unknown,s32 func_002A05DC(s32),unsigned char func_002A05DC(int index) [src/lib/func_002A05DC.c],src/lib/func_002A05DC.c,strong:accepted-linked-C-definition,unsigned char func_002A05DC(int index),predecessor differs from strongest C definition
func_002A05EC,0x80230DBC,func_002A05EC,unique:func_002A05EC,1,0x00284CE4,$a0,0,1,unknown,void func_002A05EC(s32),void func_002A05EC(int slot) [src/lib/func_002A05EC.c],src/lib/func_002A05EC.c,strong:accepted-linked-C-definition,void func_002A05EC(int slot),none
func_002A08C0,0x80231090,func_002A08C0,unique:func_002A08C0,1,0x00284B94,$a0|$a1|$a2|$a3,5,9,unknown,"void func_002A08C0(s32, s32, s32, s32, f32, f32, f32, s32, s32)","s32 func_002A08C0(s32 slot, s32 source, s32 animation, s32 facing, f32 x, f32 y, f32 z, s32 variant) [src/lib/func_002A08C0.c]",src/lib/func_002A08C0.c,strong:accepted-definition-plus-retail-call-site-extension,"s32 func_002A08C0(s32, s32, s32, s32, f32, f32, f32, s32, s32)",predecessor differs from strongest C definition; retail call materializes 9 arguments but accepted definition exposes 8
func_002A0B14,0x802312E4,func_002A0B14,unique:func_002A0B14,1,0x00284C38,$a0|$a1|$a2|$a3,3,7,unknown,"void func_002A0B14(s32, f32, f32, f32, f32, s32, s32)","void func_002A0B14(s32 slot, f32 start_x, f32 start_y, f32 target_x, f32 target_y, s32 duration, s32 scaled_duration) [src/lib/func_002A0B14.c]",src/lib/func_002A0B14.c,strong:accepted-linked-C-definition,"void func_002A0B14(s32 slot, f32 start_x, f32 start_y, f32 target_x, f32 target_y, s32 duration, s32 scaled_duration)",none
func_002A13C4,0x80231B94,func_002A13C4,unique:func_002A13C4,1,0x00284CC8,$a0,0,1,unknown,s32 func_002A13C4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_002A13C4(s32),return/parameter types remain unconfirmed
func_002A1610,0x80231DE0,func_002A1610,unique:func_002A1610,1,0x00284EDC,$a0|$a1|$a2|$a3,0,4,unknown,"void func_002A1610(s32, f32, f32, f32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002A1610(s32, f32, f32, f32)",return/parameter types remain unconfirmed
func_002A1690,0x80231E60,func_002A1690,unique:func_002A1690,1,0x00284E24,$a0|$a1,0,2,unknown,"void func_002A1690(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002A1690(s32, s32)",return/parameter types remain unconfirmed
func_002A175C,0x80231F2C,func_002A175C,unique:func_002A175C,1,0x00285348,$a0|$a1,0,2,unknown,"void func_002A175C(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002A175C(s32, s32)",return/parameter types remain unconfirmed
func_002A2C78,0x80233448,func_002A2C78,unique:func_002A2C78,1,0x002858EC,none isolated,0,0,unknown,void func_002A2C78(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_002A2C78(s32),return/parameter types remain unconfirmed
func_002A44EC,0x80234CBC,func_002A44EC,unique:func_002A44EC,1,0x00286088,$a0|$a1,0,2,unknown,"void func_002A44EC(u8, u16)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002A44EC(u8, u16)",return/parameter types remain unconfirmed
func_002A6150,0x80236920,func_002A6150,unique:func_002A6150,1,0x00285604,$a0,0,1,unknown,"void func_002A6150(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002A6150(s32, s32)",return/parameter types remain unconfirmed
func_002A7010,0x802377E0,func_002A7010,unique:func_002A7010,1,0x002860F0,$a0|$a1|$a2|$a3,0,4,unknown,"s32 func_002A7010(s32, f32, f32, f32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"s32 func_002A7010(s32, f32, f32, f32)",return/parameter types remain unconfirmed
func_002a3bc0,0x80234390,func_002a3bc0,unique:func_002a3bc0,1,0x00284F1C,$a0|$a1|$a2|$a3,0,4,unknown,"void func_002a3bc0(s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_002a3bc0(s32, s32, s32, s32)",return/parameter types remain unconfirmed
func_002a3efc,0x802346CC,func_002a3efc,unique:func_002a3efc,1,0x00284F38,$a0,0,1,unknown,s32 func_002a3efc(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_002a3efc(s32),return/parameter types remain unconfirmed
func_8022A428,0x8022A428,unknown,unmapped:no accepted entry at retail call target,1,0x002854D0,none isolated,0,0,used,"s32 func_8022A428(s32, s32 *)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"s32 func_8022A428(s32, s32 *)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022DDC4,0x8022DDC4,unknown,unmapped:no accepted entry at retail call target,1,0x00285C40,none isolated,0,0,unknown,void func_8022DDC4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8022DDC4(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022DDE4,0x8022DDE4,unknown,unmapped:no accepted entry at retail call target,1,0x00285C50,none isolated,0,0,unknown,void func_8022DDE4(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8022DDE4(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022DF48,0x8022DF48,unknown,unmapped:no accepted entry at retail call target,1,0x00285C60,none isolated,0,0,unknown,s32 func_8022DF48(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8022DF48(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022F148,0x8022F148,unknown,unmapped:no accepted entry at retail call target,1,0x00285D24,none isolated,0,0,not-observed-before-overwrite,void func_8022F148(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8022F148(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022F2D8,0x8022F2D8,unknown,unmapped:no accepted entry at retail call target,1,0x00285D3C,none isolated,0,0,not-observed-before-overwrite,void func_8022F2D8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8022F2D8(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022F324,0x8022F324,unknown,unmapped:no accepted entry at retail call target,1,0x002858FC,none isolated,0,0,unknown,void func_8022F324(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8022F324(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8022F408,0x8022F408,unknown,unmapped:no accepted entry at retail call target,1,0x00285944,none isolated,0,0,not-observed-before-overwrite,void func_8022F408(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_8022F408(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802339D8,0x802339D8,unknown,unmapped:no accepted entry at retail call target,1,0x00285A44,$a0,0,1,unknown,void func_802339D8(u8),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_802339D8(u8),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802348A8,0x802348A8,unknown,unmapped:no accepted entry at retail call target,1,0x00285974,$a0,0,1,unknown,void func_802348A8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_802348A8(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802348B8,0x802348B8,unknown,unmapped:no accepted entry at retail call target,1,0x0028595C,none isolated,0,0,unknown,s32 func_802348B8(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_802348B8(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802348D0,0x802348D0,unknown,unmapped:no accepted entry at retail call target,1,0x002859B0,$a0,0,1,unknown,void func_802348D0(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_802348D0(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80234D10,0x80234D10,unknown,unmapped:no accepted entry at retail call target,1,0x00285194,$a0|$a1|$a2|$a3,2,6,unknown,"void func_80234D10(s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80234D10(s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023519C,0x8023519C,unknown,unmapped:no accepted entry at retail call target,1,0x002851E8,none isolated,0,0,unknown,s32 func_8023519C(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023519C(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_802396DC,0x802396DC,unknown,unmapped:no accepted entry at retail call target,2,0x00285504|0x00286070,none isolated,0,0,unknown,void func_802396DC(),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,void func_802396DC(),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80239A84,0x80239A84,unknown,unmapped:no accepted entry at retail call target,1,0x00285048,$a2|$a3,1,5,unknown,"void func_80239A84(f32, f32, s32, f32, f32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80239A84(f32, f32, s32, f32, f32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80239B68,0x80239B68,unknown,unmapped:no accepted entry at retail call target,1,0x00285068,none isolated,0,0,unknown,s32 func_80239B68(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_80239B68(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_80239C04,0x80239C04,unknown,unmapped:no accepted entry at retail call target,1,0x00284FB4,$a0|$a1|$a2|$a3,4,8,unknown,"void func_80239C04(s32, s32, s32, s32, s32, s32, s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_80239C04(s32, s32, s32, s32, s32, s32, s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023A164,0x8023A164,unknown,unmapped:no accepted entry at retail call target,1,0x00284FE0,$a0,0,1,unknown,s32 func_8023A164(s32),unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,s32 func_8023A164(s32),call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
func_8023A5EC,0x8023A5EC,unknown,unmapped:no accepted entry at retail call target,1,0x00284E0C,$a0|$a1,0,2,unknown,"void func_8023A5EC(s32, s32)",unknown,no active matching-C owner mapped,weak:predecessor-declaration-and-call-site-only,"void func_8023A5EC(s32, s32)",call target not mapped to accepted entry metadata; return/parameter types remain unconfirmed
